Firmenname,Adresse,PLZ,Stadt,URL,RoWo-Kriterien,Begründung,Zertifizierung,Bemerkung
Mainzer Stadtwerke Vertrieb und Service GmbH,Rheinallee 41,55118,Mainz,https://www.mainzer-stadtwerke.de,A,,,
Manfred Welsch GmbH,,,,,A,,,
MANN Naturenergie GmbH & Co. KG,Schulweg 8 - 14,57520,Langenbach,https://www.mannstrom.de,R,,"Grüner Strom, Ecotopten",
Mark-E Aktiengesellschaft,Körnerstraße 40,58095,Hagen,https://www.mark-e.de,A,,,
medl GmbH,,,,,A,,,
MEGA Monheimer Elektrizitäts- und Gasversorgung GmbH,Daimlerstr. 10a,40789,Monheim am Rhein,http://www.mega-monheim.de,A,,,
meine StadtEnergie - eine Marke der Urbania GmbH,Breitwieserweg 5,69469,Weinheim,https://www.meinestadtenergie.de,A,,,
meinheizstrom.de - eine Marke der E.VITA GmbH,,,,,A,,,
Meißener Stadtwerke GmbH,Karl-Niesner-Str. 1,1662,Meißen,https://www.stadtwerke-meissen.de,A,,,
Mindener Stadtwerke GmbH,Großer Domhof 3,32423,Minden,https://www.mindener-stadtwerke.de/,A,,,
MONTANA Energieversorgung GmbH & Co. KG,Dr.-Max-Straße 26,82031,Grünwald,https://www.montana-energie.de,A,,,
MVV Energie AG,Luisenring 49,68159,Mannheim,https://www.mvv.de,A,,,
MWEnergy GmbH,,,,,A,,,
NaturEnergie+ Deutschland GmbH,,,,www.naturenergieplus.de/,B,100% Konzerntochter der EnBW,,
NatürlichEnergie EMH GmbH,Im Haag 2a,54516,Wittlich Wengerohr,https://natuerlich-energie-emh.de,R,,,
natürlich grün - eine Marke der Smiling Green Energy GmbH,Grubesallee 24,22143,Hamburg,https://natuerlich-gruen-strom.de,A,,EKOenergie,
NaturStromHandel GmbH,Parsevalstraße 11,40468,Düsseldorf,https://www.naturstrom.de,X,,"Grüner Strom, Ecotopten",
Neander Energie GmbH,Wilhelmstraße 21,42489,Wülfrath,https://www.neander-energie.de,A,,KlimaInvest-Ökostrom,
Neckermann Strom GmbH,Südportal 3,22848,Norderstedt,https://www.neckermann-strom.de/,C,,,
N-ERGIE Aktiengesellschaft,,,,,A,,,
Neubrandenburger Stadtwerke GmbH,John-Schehr-Straße 1-5,17033,Neubrandenburg,https://www.neu-sw.de,A,,,
NEW AG,Odenkirchenerstr. 201,41236,Mönchengladbach,https://www.new-energie.de,A,,,
NEW Niederrhein Energie und Wasser GmbH,Odenkirchener Str. 201,41236,Mönchengladbach,https://www.new-energie.de,A,,,
NEW Tönisvorst GmbH,Ringstraße 1,47918,Tönisvorst,https://www.new-energie.de,A,,,
NEW Viersen GmbH,Rektoratstraße 18,41747,Viersen,https://www.new-energie.de,A,,,
NGW GmbH,Duisburger Straße 161-167,47166,Duisburg,https://www.ngw.de,A,,,
Niedersachsen Ports GmbH & Co.KG Niederlassung Emden,Friedrich-Naumann-Str. 7-9,26725,Emden,https://www.nports.de/,0,Betreiber der landeseigenen Häfen in Niedersachsen,,
Nienburg Energie GmbH,An der Breiten Riede 9,31582,Nienburg,https://www.stadtwerke-nienburg.de,A,,,
NiersEnergie GmbH - eine Marke der Stadtwerke Kevelaer,Kroatenstr. 125,47623,Kevelaer,https://www.kevelaer.de,RC,,,
Niestetal Energie - Eine Marke der Städtische Werke Kassel AG,Heiligenröder Str. 70,34266,Niestetal,https://www.sw-kassel.de,A,,,
Nord Stadtwerke GmbH,,,,,A,,,
normenergie - eine Marke der GFM Gesellschaft für Messdienstleistungen mbH,,,,,A,,,
nvb Nordhorner Versorgungsbetriebe GmbH,,,,,A,,,
Oberhessische Versorgungsbetriebe AG,,,,https://www.ovag-gruppe.de,A,,,
Ohra Energie GmbH,,,,,A,,,
OIE AG,,,,,A,,,
Ökostromer Edingen-Neckarhausen ,Theodor-Heuss-Straße 16,68535,Edingen-Neckarhausen,www.edingen-neckarhausen.ökostromplus.de,X,,"OK-Power Plus, EcoTopTen","ökostrom+, Schönau"
ORIGINAL ENERGIE - eine Marke der Stadtwerke Oranienburg GmbH,,,,,A,,,
OrtenauEnergie - eine Marke des E-Werk Mittelbaden,,,,,A,,,
Osterholzer Stadtwerke GmbH & Co. KG,Am Pumpelberg 4,27711,Osterholz-Scharmbeck,https://www.osterholzer-stadtwerke.de,A,,,
Osterland Energie - eine Marke der Energie- und Wasserversorgung Altenburg GmbH,,,,,A,,,
Otto Fricke & Co. GmbH,,,,,A,,,
ourPOWER - eine Marke der infra fürth gmbh,,,,,A,,,
ovag Energie AG,Hanauer Straße 9-13,61169,Friedberg,https://www.ovag-energie.de,A,,,
P & M Rothmoser GmbH & Co KG Elektrizitätswerk,Am Urtelbach 4,85567,Grafing bei München,https://www.rothmoser.de,A,,,
PaderEnergy - eine Marke der LSW Energie GmbH & Co. KG,,,,,A,,,
PassatEnergie GmbH Online-Marke der Stadtwerke Lübeck,,,,https://passatenergie.de/,A,,,Stadtwerke Lübeck vertreiben auch Kohl- und Atomstrom
Pfalzwerke AG,Kurfürstenstr. 29,67061,Ludwigshafen,https://www.pfalzwerke.de,A,,,
phönixstrom von der PCS GmbH in Kooperation mit der Energiegenossenschaft Rhein-Ruhr eG,,,,https://www.egrr.de/strom,A,,,
Polarstern GmbH,Lindwurmstraße 88,80337,München,https://www.polarstern-energie.de,X,,"Grüner Strom, Ecotopten",
primastrom GmbH,,,,,A,,,
priostrom - eine Marke der ExtraEnergie GmbH,,,,,A,,,
proefa GmbH,,,,,A,,,
PROENGENO GmbH & Co. KG,Nendorper Str. 15,26844,Jemgum,https://proengeno.de,proengeno,,"Grüner Strom, Ecotopten",
PROKON Regenerative Energien eG,Kirchhoffstraße 3,25524,Itzehoe,https://www.prokon.net,prokon,"Folgende Kriterien werden nicht erfüllt:
    ### Anbieter beziehen zu 100% Strom aus Erneuerbaren Quellen durch direkte Lieferverträge oder Zwischenhändler die wiederum direkte Lieferverträge haben.##
Prokon kauft Strom an der Strombörse ein (Graustrom) wodurch nicht ausgeschlossen werden kann, dass auch Geld an Unternehmen der Kohle und Atomindustrie.","Grüner Strom, Ecotopten",
Propan Rheingas GmbH & Co. KG,,,,,A,,,
PRO vitaenergie - eine Marke der KEW Kommunale Energie- und Wasserversorgung AG,,,,,A,,,
PVU Prignitzer Energie- und Wasserversorgungsunternehmen GmbH,,,,,A,,,
Queichtal Energie Offenbach GmbH & Co. KG,Konrad-Lerch-6,76877,Offenbach an der Queich,https://queichtal-energie-offenbach.de/unternehmen/ueber-uns,RC,,,49% Anteil der EnergieSüdwest an der Enovos Deutschland SE 51 % Anteil har
R(H)EINPOWER - eine Marke der Stadtwerke Duisburg AG,,,,,A,,,
Regionale EnergieWerke GmbH,,,,,A,,,
Regionalwerk Bodensee GmbH & Co. KG,Waldesch 29,88069,Tettnang,https://www.rw-bodensee.de,A,,,
Regionalwerk Würmtal GmbH & Co. KG,,,,,A,,,
RELAX-STROM - eine Marke der optimization engineers GmbH,,,,,A,,,
Remstalwerk GmbH & Co. KG,Schillerstr. 30,73630,Remshalden,https://www.remstalwerk.de,A,,,
Renergiewerke Buttenwiesen GmbH,Marktplatz 4 ,86647,Buttenwiesen,https://www.renergiewerke-buttenwiesen.de,RC,,,
RevierKraft - eine Marke der Energieversorgung Oberhausen AG,,,,,A,,,
REWAG Regensburger Energie- und Wasserversorgung AG & Co KG,,,,,A,,,
RheinEnergie AG,Parkgürtel 24,50823,Köln,https://www.rheinenergie.com,A,,,
Rheinhessen-Energie GmbH c/o VG-Werke Sprendlingen-Gensingen AöR,Elisabethenstraße 1,55576,Sprendlingen,http://www.rheinhessen-energie.de,A,,TÜV Nord,
Rheinhessische Energie- und Wasserversorgungs-GmbH,Binger Straße 135,55218,Ingelheim,https://www.rheinhessische.de,RC,,,Thüga Aktiengesellschaft
rhenag Rheinische Energie AG,Bayenthalgürtel 9,50968,Köln,https://www.rhenag.de,B,"Hauptgesellschafter der rhenag ist innogy mit 66,67 % Anteil (Stand 2019) ",,
RhönEnergie Fulda GmbH,Bahnhofstraße 2,36037,Fulda,https://re-fd.de,A,,,
Richard Westenthanner Elektrizitätsversorgung,,,,,A,,,
Rödl GmbH,,,,https://www.roedl-energie.de,0,"AVIA ist eine konzernunabhängige Mineralölmarke. Als Dachgesellschaft bündelt die AVIA AG u.a. den Einkauf von Mineralölprodukten, Brennstoffen und Energie für ihre Mitglieder.",,AVIA Strom
Rommel Energie GmbH,,,,,A,,,
ROTHSTROM - eine Marke der Adolf ROTH GmbH & Co. KG,,,,,A,,,
RUCK ZUCK Energie - eine Marke Energieversorgung Pirna GmbH,,,,https://www.stadtwerke-pirna.de/website/evp/strom-downloads.asp,A,,,Strom der stadtwerke-pirna
Rupert Buchauer Elektrizitätswerk Frasdorf-Oberprienmühle,,,,,A,,,
Saergas GmbH & Co. KG,,,,,A,,,
Schleswiger Stadtwerke GmbH,Werkstraße 1,24837,Schleswig,https:/www.schleswiger-stadtwerke.de,A,,,Erdgas
Schöpper & Knoll - Taubertal GmbH,Am Igelsbach 19,91541,Rothenburg o.d.T.,http://www.schoepper-knoll.de/de/index.php,A,,,mit Avia verküpft
Schröder Gas GmbH & Co. KG,Dibberser Bahnhof 5,27321,Thedinghausen,https:/www.schroeder-gas.de,A,,,Erdgas
schwarzwald energy GmbH,,,,,A,,,
SENEC - eine Marke der Deutsche Energieversorgung GmbH,,,,,A,,,
SE SAUBER ENERGIE GmbH & Co. KG,Bayenthalgürtel 9,50968,Köln,https://www.sauberenergie.de ,B,Innogy hat 30 Prozent anteil,FirstClimate-Naturstrom Wasser und Wald,
SEW Stromversorgungs-GmbH,,,,,A,,,
Shell PrivatEnergie GmbH,,,,https://www.shellprivatenergie.de,0,"Die Royal Dutch Shell, unter deren Dach der Mutterkonzern Shell Petroleum Company Limited steht, ist eines der weltweit größten Mineralöl- und Erdgas-Unternehmen",,fällt aus diversen Gründen raus
Siegener Versorgungsbetriebe GmbH,Morleystraße 29-37,57072,Siegen,https://www.svb-siegen.de,B,"Beteiligung von rhenag Rheinische Energie AG mit 24,92 %; Hauptgesellschafter der rhenag ist innogy mit 66,67 % Anteil (Stand 2019). Der Anbieter hat zudem kein erkennbares Investitionsprogramm (entsprechend der ROBIN WOOD Kriterien) zur Förderung der Energiewende",,
Silphienergie GmbH,Hahnennest 100  ,88356,Ostrach,https://www.silphienergie.de,A,,,
SimplyGreen - eine Marke der ENTEGA Energie GmbH,,,,,A,,,
SimplyGreen - eine Marke der ENTEGA Energie GmbH,,,,https://www.simplygreen.de,A,,,
Solargenossenschaft Rosenheim eG,Am Gangsteig 16,83024,Rosenheim,https://solargenossenschaft-rosenheim.de ,R,,TÜV Süd,Kraftwerk ist von VERBUND AG → Sind mit EVN Verbunden
Sömmerdaer Energieversorgung GmbH,,,,,A,,,
Spätzle Strom - ein Marke der EHINGER ENERGIE Stromvertrieb GmbH & Co. KG,,,,,A,,,
SpreeGas Gesellschaft für Gasversorgung und Energiedienstleistung mbH,,,,,A,,,
SSW - Stadtwerke St. Wendel GmbH & Co. KG,,,,,A,,,
Städtische Betriebswerke Luckenwalde GmbH,Kirchhofsweg 6,14943,Luckenwalde,https://www.sbl-gmbh.net/,A,,,
Städtisches Kommunalunternehmen Baiersdorf,Am Anger 5,91083,Baiersdorf,http://www.sk-baiersdorf.de/,A,,,
Städtische Werke AG Kassel,Königstor 3-13,34117,Kassel,https://www.sw-kassel.de/privatkunden/startseite.html,A,,,
Städtische Werke Borna GmbH,,,,,A,,,
Städtische Werke Magdeburg GmbH & Co. KG,Am Alten Theater 1,39104,Magdeburg,https://www.sw-magdeburg.de/privatkunden/startseite.html,A,,,
Städtische Werke Spremberg (Lausitz) GmbH,Lustgartenstraße 4a,3130,Spremberg,https://swspremberg.de/,A,,,
Stadt- und Überlandwerke GmbH Lübben,Bahnhofstraße 30,15907,Lübben,https://www.stadtwerke-luebben.de ,A,,,
Stadt- und Überlandwerke GmbH Luckau-Lübbenau,Am Bahnhof 2,15926,Luckau,https://www.suell.de/,A,,,
Stadtwerk am See GmbH & Co. KG,Kornblumenstr. 7/1,88046,Friedrichshafen,https://www.stadtwerk-am-see.de/de/index.php,A,,,
Stadtwerke Aalen GmbH,Im Hasennest 9,73433,Aalen,https://www.sw-aalen.de/,A,,,
Stadtwerke Achim AG,Gaswerkstr.7,28832,Achim,https://www.stadtwerke-achim.de/,A,,,
Stadtwerke Ahaus GmbH,,,,,A,,,
Stadtwerke Ahlen GmbH,,,,,A,,,
Stadtwerke Ahrensburg GmbH,Lohe 1,22926,Ahrensburg,https://www.stadtwerke-ahrensburg.de/,A,,,
Stadtwerke Altdorf GmbH,Hersbrucker Straße 6a,90518,Altdorf,https://www.stadtwerke-altdorf.de/,A,,,
Stadtwerke Altensteig,Jahnstraße 13,72213,Altensteig,https://www.stadtwerke-altensteig.de/de/Privatkunden,A,,KlimaInvest-Ökostrom,
Stadtwerke Amberg Versorgungs GmbH,,,,,A,,,
Stadtwerke Andernach Energie GmbH,Läufstraße 4,56626,Andernach,https://www.stadtwerke-andernach-energie.de/,A,,,
Stadtwerke Annaberg-Buchholz Energie AG,,,,,A,,,
Stadtwerke Annweiler,Saarlandstr. 13,76855,Annweiler,https://www.stadtwerke-annweiler.de/startseite.html,A,,,
Stadtwerke Ansbach GmbH,Rügländer Straße 1a,91522,Ansbach,https://www.stwan.de/,A,,,
Stadtwerke Arnsberg Vertriebs und Energiedienstleistungs GmbH,Niedereimerfeld 22,59823,Arnsberg,https://www.stadtwerke-arnsberg.de/,A,,RenewablePLUS,
Stadtwerke Arnstadt GmbH,Elxlebener Weg 8,99310,Arnstadt,https://www.sw-arnstadt.de/,A,,,
Stadtwerke Aschersleben GmbH,Postfach 1756,6449,Aschersleben,https://www.sw-aschersleben.de/startseite.html,A,,,
Stadtwerke Aue GmbH,,,,,A,,,
Stadtwerke Augsburg Energie GmbH,Hoher Weg 1,86152,Augsburg,https://www.sw-augsburg.de/,A,,,
Stadtwerke Aurich GmbH,Wallstraße 54,26603,Aurich,https://www.stadtwerke-aurich.de,RC,,,
Stadtwerke Bad Aibling,Lindenstr. 30,83043,Bad Aibling,https://www.stadtwerke-bad-aibling.de/,A,,,Kraftwerk ist von VERBUND AG → Sind mit EVN Verbunden
Stadtwerke Bad Belzig GmbH,,,,,A,,,
Stadtwerke Bad Bergzabern GmbH,,,,,A,,,
Stadtwerke Bad Bramstedt GmbH,Lohstücker Weg 10 - 12,24576,Bad Bramstedt,https://www.stadtwerke-badbramstedt.de/,A,,,"36 Prozent von Hansa Werk, die zu großteil e.on gehören"
Stadtwerke Bad Brückenau GmbH,Sinnaustr. 14,97769,Bad Brückenau,http://www.stadtwerke-bad-brueckenau.de/de/Fussnavigation/Impressum/,A,,FirstClimate-Naturstrom Wasser und Wald,
Stadtwerke Bad Dürkheim GmbH,Salinenstrasse 36,67098,Bad Dürkheim,http://sw-duerkheim.de/,A,,,
Stadtwerke Baden-Baden,,,,,A,,,
Stadtwerke Bad Friedrichshall,Saline 1,74177,Bad Friedrichshall,http://www.bad-friedrichshall.de/content1.asp?site=bfhallgemeines&cls=01,A,,,
Stadtwerke Bad Harzburg GmbH,,,,,A,,,
Stadtwerke Bad Herrenalb GmbH,Bahnhofstr. 12,76332,Bad Herrenalb,https://www.stw-badherrenalb.de/,A,,,über Tühga und Ruhrgas mit e.on verbunden
Stadtwerke Bad Hersfeld GmbH,Kleine Industriestrasse 1,36251,Bad Hersfeld,https://www.stadtwerke-hef.de/,R,,,
Stadtwerke Bad Kissingen GmbH,Würzburger Straße 5,97688,Bad Kissingen,https://www.stwkiss.de/,A,,,
Stadtwerke Bad Langensalza GmbH,Illebener Weg 11a,99947,Bad Langensalza,https://www.swl-badlangensalza.de/,A,,,
Stadtwerke Bad Nauheim GmbH,Hohe Straße 14-18,61231,Bad Nauheim,https://www.stadtwerke-bad-nauheim.de/,A,,,
Stadtwerke Bad Neustadt a.d. Saale,Goethestr. 17/19,97616,Bad Neustadt,https://www.stw-badnes.de/,A,,,
Stadtwerke Bad Pyrmont Energie & Verkehrs GmbH,Südstrasse 3,31812,Bad Pyrmont,https://www.stadtwerke-bad-pyrmont.de/,A,,,
Stadtwerke Bad Reichenhall KU,Hallgrafenstraße 2,83435,Bad Reichenhall,https://www.stadtwerke-bad-reichenhall.de/index.php/home/?lang=de&node=home,A,,,
Stadtwerke Bad Rodach,,,,,A,,,
Stadtwerke Bad Sachsa GmbH,Feldstraße 10,37441,Bad Sachsa,https://www.stwbadsachsa.de/home.html,A,,,
Stadtwerke Bad Säckingen GmbH,Schulhausstraße 40,79713,Bad Säckingen,https://www.sws-energie.de/sws-energie/unternehmen/ansprechpartner.php,A,,,
Stadtwerke Bad Salzuflen GmbH,Uferstr. 36-44,32108,Bad Salzuflen,https://www.stwbs.de/,A,,,
Stadtwerke Bad Saulgau,Moosheimer Straße 28,88348,Bad Saulgau,https://www.bad-saulgau.de/stadtwerke/,A,,,
Stadtwerke Bad Sooden-Allendorf,Werrastrasse 24,37242,Bad Sooden-Allendorf,https://stadtwerke-bsa.de/stadtwerke/home,A,,,
Stadtwerke Bad Tölz GmbH,An der Osterleite 2,83646,Bad Tölz,https://stw-toelz.de/,R,,,Ökogas
Stadtwerke Bad Vilbel GmbH,Theodor-Heuss-Str. 53-63,61118,Bad Vilbel-Dortelweil,https://www.sw-bv.de/,A,,,
Stadtwerke Bad Wildbad GmbH & Co. KG,Ladestr. 5,75323,Bad Wildbad,https://www.stadtwerke-bad-wildbad.de/,A,,,
Stadtwerke Bad Windsheim,Vorm Rothenburger Tor 2,91438,Bad Windsheim,https://www.sw-bw.de/startseite/,A,,,
Stadtwerke Bad Wörishofen,Stadionring 18,86825,Bad Wörishofen,https://www.swbw.de/,A,,,
Stadtwerke Balingen,Wasserwiesen 37,72336,Balingen,https://www.stadtwerke.balingen.de/,A,,,
Stadtwerke Balve GmbH Vertriebs- und Servicegesellschaft,,,,https://www.stadtwerke-balve.de,0,Stromkennzeichnung fehlt,,
Stadtwerke Bamberg Energie- und Wasserversorgungs GmbH,Margaretendamm 28,96052,Bamberg,https://www.stadtwerke-bamberg.de/,A,,,
Stadtwerke Barmstedt,Bahnhofstr. 27,25355,Barmstedt,https://stadtwerke-barmstedt.de/privatkunden/,A,,,
Stadtwerke Barmstedt Xtra GmbH,Bahnhofstr. 27,25355,Barmstedt,https://stadtwerke-barmstedt.de/privatkunden/,A,,,
Stadtwerke Barsinghausen GmbH,,,,,A,,,
Stadtwerke Barth GmbH,Louis-Fürnberg-Strasse 3,18356,Barth,https://www.stadtwerke-barth.de/,A,,,
Stadtwerke Bayreuth Energie und Wasser GmbH,Birkenstraße 2,95447,Bayreuth,https://www.stadtwerke-bayreuth.de/,A,,TÜV Nord,
Stadtwerke Bebra GmbH,Wiesenweg 1,36179,Bebra,https://www.stadtwerke-bebra.de/,A,,,
Stadtwerke Bernau GmbH,Breitscheidstraße 45,16321,Bernau bei Berlin,https://www.stadtwerke-bernau.de/,A,,,
Stadtwerke Bernburg GmbH,,,,,A,,,
Stadtwerke Bexbach GmbH,Kolpingstraße 83,66450,Bexbach,http://www.stadtwerke-bexbach.de/,A,,,
Stadtwerke Bielefeld GmbH,Schildescher Str. 16,33611,Bielefeld,https://www.stadtwerke-bielefeld.de/,A,,,
Stadtwerke Bietigheim-Bissingen GmbH,Rötestr. 8,74321,Bietigheim-Bissingen,https://www.sw-bb.de/,A,,,
Stadtwerke Bitterfeld-Wolfen GmbH,,,,,A,,,
Stadtwerke Blankenburg GmbH,Börnecker Straße 6,38889,Blankenburg,https://www.sw-blankenburg.de/,A,,,
Stadtwerke Bliestal GmbH,Bliesgaustraße 13,66440,Blieskastel,https://www.stadtwerke-bliestal.de/privatkunden/startseite/,A,,,
Stadtwerke Böblingen GmbH & Co. KG,Wolfgang-Brumme-Allee 32,71032,Böblingen,https://www.stadtwerke-boeblingen.de/,A,,,
Stadtwerke Bochum GmbH,Ostring 28,44787,Bochum,https://www.stadtwerke-bochum.de/privatkunden.html,A,,,
Stadtwerke Bogen GmbH,Agendorfer Straße 19,94327,Bogen,https://www.stadtwerke-bogen.de/,A,,,
Stadtwerke Böhmetal GmbH,,,,,A,,,
Stadtwerke Borken/Westfalen GmbH,,,,,A,,,
Stadtwerke Bramsche GmbH,,,,,A,,,
Stadtwerke Brandenburg an der Havel GmbH & Co. KG,Packhofstraße 31,14776,Brandenburg an der Havel,https://www.stwb.de/,A,,,
Stadtwerke Bredstedt GmbH,Markt 3,25821,Bredstedt,https://www.sw-nf.de/,A,,,
Stadtwerke Bretten GmbH,Pforzheimer Str. 80-84,75015,Bretten,https://www.stadtwerke-bretten.de/,A,,,
Stadtwerke Brilon Energie GmbH,,,,,A,,,
Stadtwerke Brühl GmbH,Engeldorfer Straße 2,50321,Brühl,https://www.stadtwerke-bruehl.de/,A,,,
Stadtwerke Brunsbüttel GmbH,Eddelaker Straße 123 d,25541,Brunsbüttel,https://www.stadtwerke-brunsbuettel.de/de/,A,,,
Stadtwerke Buchen GmbH & Co KG,Am Hohen Markstein 3,74722,Buchen/Odenwald,https://www.stadtwerke-buchen.de/,A,,,
Stadtwerke Buchholz in der Nordheide GmbH,Maurerstraße 10,21244,Buchholz i.d.N.,https://buchholz-stadtwerke.de/startseite.html,A,,,
Stadtwerke Bühl GmbH,Siemensstr. 5,77815,Bühl,https://www.stadtwerke-buehl.de/de/Privatkunden,A,,,
Stadtwerke Burgbernheim,,,,,A,,,
Stadtwerke Burgdorf GmbH,Vor dem Hannoverschen Tor 12,31303,Burgdorf,https://www.stadtwerke-burgdorf.de/,A,,,
Stadtwerke Burg GmbH,Schartauer Straße 58a,39288,Burg,https://stadtwerke-burg.de/,A,,,
Stadtwerke Buxtehude GmbH,Ziegelkamp 8,21614,Buxtehude,https://www.stadtwerke-buxtehude.de/kontakt-service,A,,KlimaInvest-ÖkostromRE,
Stadtwerke Castrop-Rauxel GmbH,Lönsstrasse 12,44575,Castrop-Rauxel,https://www.swcas.de/,RC,,,
Stadtwerke Celle GmbH,Magnusstraße 2,29221,Celle,https://stadtwerke-celle.de/,RC,,KlimaInvest-Ökostrom,
Stadtwerke Cham GmbH,,,,,A,,,
Stadtwerke Clausthal-Zellerfeld GmbH,Robert-Koch-Str. 5,38678,Clausthal-Zellerfeld,https://www.stadtwerke-clausthal.de/de/Home/Impressum/,A,,,
Stadtwerke Coesfeld GmbH,,,,,A,,,
Stadtwerke Cottbus GmbH,Karl-Liebknecht-Straße 130,3046,Cottbus,https://www.stadtwerke-cottbus.de/,A,,,
Stadtwerke Crailsheim GmbH,Fr.-Bergius-Str. 10 - 14,74564,Crailsheim,http://www.stw-crailsheim.de/,A,,,
Stadtwerke Dachau,Brunngartenstr. 3,85221,Dachau,https://www.stadtwerke-dachau.de/kontakt.html,A,,,
Stadtwerke Deggendorf GmbH,Graflinger Straße 36,94469,Deggendorf,https://www.stadtwerke-deggendorf.de/,A,,,
Stadtwerke Deidesheim GmbH,Im Kathrinenbild 5,67146,Deidesheim,https://www.stadtwerke-deidesheim.de/,R,,RenewablePLUS,
Stadtwerke Delitzsch GmbH,,,,,A,,,
Stadtwerke Delmenhorst GmbH,Fischstrasse 32-34,27749,Delmenhorst,https://www.stadtwerkegruppe-del.de,R,,FirstClimate-Naturstrom Wasser und Wald,
Stadtwerke Detmold GmbH,Am Gelskamp 10,32758,Detmold,https://www.stadtwerke-detmold.de/,B,Innogy ist Gesellschafter mit 12.45%,TÜV Nord,
Stadtwerke Dettelbach,Luitpold-Baumann-Str. 1,97337,Dettelbach,https://www.dettelbach.de/sites/gensite.asp?SID=cms1408201921145925519776&Art=02&WB=1,A,,,
Stadtwerke Diez GmbH,,,,,A,,,
Stadtwerke Dillingen/Saar GmbH,,,,,A,,,
Stadtwerke Dingolfing GmbH,,,,,A,,,
Stadtwerke Dinkelsbühl,,,,,A,,,
Stadtwerke Dinslaken GmbH,Gerhard-Malina-Strasse 1,46537,Dinslaken,https://www.stadtwerke-dinslaken.de/privatkunden/startseite.html,A,,,
Stadtwerke Ditzingen GmbH & Co. KG,Bauernstraße 76/1,71254,Ditzingen,https://www.sw-ditzingen.de/,A,,,
Stadtwerke Döbeln GmbH,Rosa-Luxemburg-Str. 9,4720,Döbeln,https://www.stadtwerke-doebeln.de/,A,,,
Stadtwerke Dorfen GmbH,,,,,A,,,
Stadtwerke Dreieich GmbH,,,,,A,,,
Stadtwerke Duisburg AG,Bungertstr. 27,47053,Duisburg,https://www.stadtwerke-duisburg.de/,A,,,
Stadtwerke Dülmen GmbH,,,,,A,,,
Stadtwerke Düren GmbH,Arnoldsweilerstr. 60,52351,Düren,https://www.stadtwerke-dueren.de/corporate/karriere/,A,,,
Stadtwerke Düsseldorf AG,Höherweg 100,40233,Düsseldorf,https://www.swd-ag.de/,A,,,
Stadtwerke Eberbach,,,,,A,,,
Stadtwerke Ebermannstadt Versorgungsbetriebe GmbH,Forchheimer Straße 29,91320,Ebermannstadt,https://www.stadtwerke-ebermannstadt.de/de/Fussnavigation/Impressum/,A,,,
Stadtwerke Eckernförde GmbH,Bormbrook 1,24340,Eckernförde,https://www.stadtwerke-eckernfoerde.de/index.php/unternehmen.html,A,,,
Stadtwerke Eichstätt Versorgungs-GmbH,,,,,A,,,
Stadtwerke Eilenburg GmbH,,,,,A,,,
Stadtwerke Einbeck GmbH,Grimsehlstraße 17,37574,Einbeck,https://www.stadtwerke-einbeck.de/,A,,,
Stadtwerke Eisenberg Energie GmbH,Etzdorfer Str. 2,7607,Eisenberg,https://portal.stadtwerke-eisenberg.de/,A,,,
Stadtwerke Eisenhüttenstadt GmbH,,,,,A,,,
Stadtwerke Elbtal GmbH,Neubrunnstraße 8,1445,Radebeul,https://www.stadtwerke-elbtal.de/swelbtal/InfoPortal/startseite,A,,,
Stadtwerke Elm-Lappwald GmbH,Marktstraße 18,38154,Königslutter am Elm,https://www.stadtwerke-elm-lappwald.de/,A,,,
Stadtwerke Elmshorn,Westerstr. 50 - 54,25336,Elmshorn,https://www.stadtwerke-elmshorn.de/,A,,,
Stadtwerke Elzach Versorgungs- und Kurbetriebe,Hauptstraße 99,79215,Elzach,"https://www.elzach.de/,Lde/startseite/rathaus+_+service/eigenbetrieb+stadtwerke.html",A,,,
Stadtwerke Emden GmbH,Martin-Faber-Str. 11,26725,Emden,https://stadtwerke-emden.de/,A,,,
Stadtwerke Emmendingen GmbH,Am Gaswerk 1,79312,Emmendingen,https://swe-emmendingen.de/,B,Gesellschafter sind mehrheitlich die Stadt Emmendingen sowie die EnBW Kommunale Beteiligungen GmbH; ENBW betreibt und/oder hält Anteile an Atom- und Kohlekraftwerken,,
Stadtwerke Emmerich GmbH,Wassenbergstraße 1,46446,Emmerich,https://www.stadtwerke-emmerich.de/,A,,,
Stadtwerke Emsdetten GmbH,Moorbrückenstraße 30,48282,Emsdetten,https://www.stadtwerke-emsdetten.de/,A,,,
Stadtwerke Energie Jena-Pößneck GmbH,Rudolstädter Straße 39,7745,Jena,https://www.stadtwerke-jena.de/privatkunden.html,A,,,
Stadtwerke Engen GmbH,Eugen-Schädler-Str. 3,78234,Engen,https://www.stadtwerke-engen.de/,A,,,
Stadtwerke Eppingen GmbH & Co. KG,,,,,A,,,
Stadtwerke Erkrath GmbH,Gruitener Straße 27,40699,Erkrath,https://www.stadtwerke-erkrath.de/,RC,,,
Stadtwerke Eschwege GmbH,Niederhoner Straße 36,37269,Eschwege,https://www.stadtwerke-eschwege.de/,A,,,
Stadtwerke Essen AG,Rüttenscheider Straße 27 - 37,45128,Essen,https://www.stadtwerke-essen.de/,A,,,
Stadtwerke Ettlingen GmbH,Hertzstraße 33,76275,Ettlingen,https://www.sw-ettlingen.de/,A,,,
