Andere Liste,Firmenname,Kennzeichnung Link,Anmerkungen,Adresse,PLZ,Stadt,URL,RoWo-Kriterien,A,B,C,D,R,X,Eigene Anlagen/Anteile an Anlagen,Zertifizierung? (ein oder mehrer Tarife),Stromkennzeichung fehlt,Bemerkung
,Gas- und Energiegenossenschaft Ost- und Mitteldeutschland eG,www.energiegenossenschaft.de/,nicht vorhanden,,,,,A,X,,,,,,,,,
,Gas- und Wärmedienst Börnsen GmbH,https://www.gas-und-waermedienst-boernsen.de/crbst_18.html,FEHLER fehlerhafte Kennzeichnung,,,,,A,X,,,,,,,,,
,Gas- und Wasserversorgung Höxter GmbH,https://www.gwh-hoexter.de/strom/allgemeine-hinweise/stromkennzeichnung/,,Corveyer Allee 21,37671,Höxter,https://www.gwh-hoexter.de,RC,,,,,,,,,,
,Gasversorgungsgesellschaft mbH Rhein-Erft (GVG),https://www.erftpower.de/index.php?id=1#faq,FEHLER fehlerhafte Kennzeichnung,,,,,A,X,,,,,,,,,
,Gebrüder Eirich GmbH & Co KG Elektrizitätswerk,https://www.gebruedereirich.de/index.php?cat=Stromversorgung&page=Stromkennzeichnung,FEHLER mit EEG,Walldürner Str. 50,74736,Hardheim,https://www.gebruedereirich.de,A,X,,?,,,,,,,
,Gebrüder Heinzelmann Elektrizitätswerk GmbH & Co. KG,https://www.gebr-heinzelmann.com/elektrizitaet/stromhandel/#stromzusammensetzung,FEHLER fehlerhafte Kennzeichnung,Halmeil 3,77709,Wolfach-Halbmeil,https://www.gebr-heinzelmann.com,A,X,regional erzeugter Strom,,,,,,,,
,Gebrüder Miller KG Elektrizitätsversorgung,https://gebrueder-miller.de/index.php/stromkennzeichnung.html,nicht aktuell,,,,,A,X,,,,,,,,,
,GELSENWASSER AG,https://www.gelsenwasser.de/strom/allgemeine-hinweise/stromkennzeichnung/?tx_news_pi1%5B%40widget_0%5D%5BcurrentPage%5D=1&tx_news_pi1%5BoverwriteDemand%5D%5Bcategories%5D=1&cHash=50823efd7ddafb3b068e5cf817aa806a,,,,,,A,X,,,,,,,,,
,Gemeinde-Elektrizitäts- und Wasserwerk-Werk Burtenbach,https://docs.wixstatic.com/ugd/5aed84_1754fc534ad5487abb15d208b8fd8732.pdf,FEHLER mit EEG,,,,,A,X,,,,,,,,,
,Gemeinde Heroldsbach Stromversorgung,https://www.heroldsbach.de/fileadmin/Downloads/Strom/Energiemix_2018.pdf,,Hauptstraße 9,91336,Heroldsbach,https://www.heroldsbach.de,A,X,,?,,,,,,,
,Gemeindewerke Ammerbuch GmbH,https://www.gemeindewerke-ammerbuch.de/produkte/stromkennzeichnung,nicht aktuell,Kirchstraße 6,72119,Ammerbuch,https://www.gemeindewerke-ammerbuch.de,A,X,,,,,,,,,
,Gemeindewerke Bad Sassendorf GmbH & Co. KG,https://www.gw-bad-sassendorf.de/de/stromversorgung/haeufige-fragen/stromkennzeichnung.php,,Eichendorffstraße 1,59505,Bad Sassendorf,https://www.gw-bad-sassendorf.de,A,X,,,,,,,,,
,Gemeindewerke Baiersbronn,https://gemeindewerke-baiersbronn.de/strom/informationen,nicht aktuell,Oberdorfstr. 46,72270,Baiersbronn,https://gemeindewerke-baiersbronn.de,A,X,,,,,,,,,
,Gemeindewerke Bayerisch Gmain,http://www.bayerisch.gmain.de/medien/energiemix-2018-internet-neu-bg.pdf,,,,,,A,X,,,,,,,,,
,Gemeindewerke Bobenheim-Roxheim,https://www.gemeindewerke-boro.de/_Resources/Persistent/ce59eaa8a4214eadba962100f8b15e451f3c7688/2017_Stromkennzeichnung_BoRo.pdf,,Rathausplatz,67240,Bobenheim-Roxheim,https://www.stw-frankenthal.de,A,X,,,,,,,,x,
,Gemeindewerke Brüggen GmbH,http://www.gemeindewerke-brueggen-wasser-strom.de/,nicht vorhanden,,,,,A,X,,,,,,,,,
,Gemeindewerke Budenheim AöR,https://www.gemeindewerke-budenheim.de/supermenu/downloads/,FEHLER fehlerhafte Kennzeichnung,Untere Stefanstr. 65,55257,Budenheim,https://www.gemeindewerke-budenheim.de,A,X,,,,,,,,,
,Gemeindewerke Cadolzburg,https://www.werke-cadolzburg.de/strom/downloads-strom/netzzugang-entgelte/,,,,,,A,X,,,,,,,,,
,Gemeindewerke Dudenhofen,https://www.vgrd.de/vg_rd/Werke/Strom/,nicht aktuell,,,,www.vgrd.de,A,X,,,,,,,,,
,Gemeindewerke Ebersdorf,https://www.ebersdorf.net/media/1993/preisblatt-fuer-die-grund-und-ersatzversorgung-2019.pdf,,,,,,A,X,,,,,,,,,
,Gemeindewerke Eppelborn GmbH & Co. KG,https://www.kommpower.de/wp-content/uploads/2018/10/Herkunftsnachweise_2018-GWE.png,,,,,,A,X,,,,,,,,,
,Gemeindewerke Everswinkel GmbH,https://www.gemeindewerke-everswinkel.de/de-wAssets/docs/preise/20190101-Preisblatt-Strom.pdf,,,,,https://www.gemeindewerke-everswinkel.de,B,,Gesellschafter der GmbH sind die Gemeinde Everswinkel und innogy,,,,,,,,
,Gemeindewerke Frammersbach,http://www.frammersbach.de/seite/bs/marktgemeinde/0304:324/-/Stromversorgung___E-Werk.html,nicht aktuell,Marktplatz 3 (Rathaus),97833,Frammersbach,https://www.frammersbach.de,A,X,,,,,,,,,
,Gemeindewerke Gangkofen,https://www.gangkofen.de/stromkennzeichnung-2019,,,,,,A,X,,,,,,,,,
,Gemeindewerke Garmisch-Partenkirchen,https://www.gw-gap.de/strom/informationen,,Adlerstraße 25,82467,Garmisch-Partenkirchen,https://www.gw-gap.de,A,X,,,,,,,,,
,Gemeindewerke Georgensgmünd,https://www.gemeindewerke-georgensgmuend.de/index.php?id=349,nicht aktuell,Bahnhofstrasse 4,91166,Georgensgmünd,https://www.gemeindewerke-georgensgmuend.de,A,X,,,,,,,,,
,Gemeindewerke Grefrath GmbH,https://www.gemeindewerke-grefrath.de/stromkennzeichnung,,,,,,A,X,,,,,,,,,
,Gemeindewerke Großkrotzenburg GmbH,https://www.gemeindewerke-grosskrotzenburg.de/files/pdf/strom-pdf/veroeffentlichungen-EnWG/Stromkennzeichnung%202017.pdf,,Anne-Frank-Platz 10,63538,Großkrotzenburg,https://www.gemeindewerke-grosskrotzenburg.de,A,X,,,,,,,,,
,Gemeindewerke Gundelfingen GmbH,https://www.gwg-gundelfingen.de/de/Strom/Stromkennzeichnung/Stromkennzeichnung/gwg-Stromkennzeichnung-2018-10-30.pdf,,Alte Bundesstr. 31,79194,Gundelfingen,https://www.gwg-gundelfingen.de,B,?,30 % gehören badenova (verkaufen auch normalstrom),X,,,,,,,
,Gemeindewerke Halstenbek,https://www.gwhalstenbek.de/strommix.html,,Ostereschweg 9,25469,Halstenbek,https://www.gwhalstenbek.de,A,X,,,,,,,,,
,Gemeindewerke Hardt,https://www.hardt-online.de/gemeindewerke,nicht aktuell,Mariazeller Str. 1,78739,Hardt,https://www.hardt-online.de,A,X,,,,,,,,,
,Gemeindewerke Haßloch GmbH,https://www.gwhassloch.de/fileadmin/user_upload/01_Strom/Docs/181101Stromkennzeichnung2018_01.pdf,,Gottlieb-Duttenhöfer-Straße 27,67454,Haßloch,https://www.gwhassloch.de,A,X,,,,,,,,,
,Gemeindewerke Heikendorf GmbH,https://www.gwh.sh/strom/stromkennzeichnung/,nicht aktuell,Wasserwaage 1,24226,Heikendorf,https://www.gwh.sh,A,X,,,,,,,,,
,Gemeindewerke Hermaringen,https://gemeindewerke-hermaringen.de/site/assets/files/1979/gwh_stromkennzeichnung_2017.pdf,,Karlstr. 12,89568,Hermaringen,https://gemeindewerke-hermaringen.de,RC,,,,,,,,KlimaInvest-Ökostrom,,
,Gemeindewerke Herxheim,https://www.gemeindewerke-herxheim.de/fileadmin/user_upload/2018-11-14_Strommix_2017_GW_Herxheim_2.jpg,,Am Rathaus 6,76863,Herxheim,https://www.gemeindewerke-herxheim.de,A,X,,X,,,,,TÜV Nord,,
,Gemeindewerke Heusweiler GmbH,https://www.kommpower.de/stromkennzeichnung/,,,,,,A,X,,,,,,,,,
,Gemeindewerke Hohenwestedt GmbH,https://www.gemeindewerke-hohenwestedt.de/strom/,nicht aktuell,Am Gaswerk 8,24594,Hohenwestedt,https://www.gemeindewerke-hohenwestedt.de,A,X,,,,,,,,,
,Gemeindewerke Holzkirchen GmbH,https://www.gw-holzkirchen.de/de/Kopfnavigation/Veroeffentlichungspflichten/Stromnetz/Stromnetz.html,nicht aktuell,Industriestraße 8,83607,Holzkirchen,https://www.gw-holzkirchen.de,A,X,,,,,,,,,
,Gemeindewerke Hünxe GmbH,https://www.gemeindewerke-huenxe.de/strom/allgemeine-hinweise/stromkennzeichnung/,,In der Beckkuhl 4,46569,Hünxe,https://www.gemeindewerke-huenxe.de,RC,,,,,,,,,,
,Gemeindewerke Hütschenhausen c/o Stadtwerke Ramstein-Miesenbach,https://www.stadtwerke-ramstein.de/fileadmin/dokumente/Strom/pdf/Stromkennzeichnung/Stromkennzeichung_Huetschenhausen_2017.pdf,,,,,,A,X,,,,,,,,,
,Gemeindewerke Kahl Versorgungsgesellschaft mbH,https://www.gemeindewerke-kahl.de/index.php/strom/stromkennzeichnung,,,,,,A,X,,,,,,,,,
,Gemeindewerke Kiefersfelden,https://www.gemeindewerke-kiefersfelden.de/strom/vertrieb/energietraegermix/,nicht aktuell,Kufsteiner Straße 17,83088,Kiefersfelden,https://www.gemeindewerke-kiefersfelden.de,A,X,,?,,,,X,x,,
,Gemeindewerke Kirkel GmbH,https://www.gwkirkel.de/strom/infos-rund-um-strom/energietraegermix/,,,,,,A,X,,,,,,,,,
,Gemeindewerke Kleinblittersdorf GmbH & Co. KG,https://www.kommpower.de/stromkennzeichnung/,,,,,,A,X,,,,,,,,,
,Gemeindewerke Krauchenwies,https://www.gemeindewerke-krauchenwies.de/site/Krauchenwies-Gemeindewerke/search/14698674/Lde/index.html?viewSecurityToken=96fc24256e6282d5ea56d7e860b84da272753836&page=1&sort=mimetype&order=desc&query=stromkennzeichnung&_sectionFilter=on&exclusionWords=&finishParam=%7B%27page%27%3A%271%27%7D,nicht aktuell,,,,,A,X,,,,,,,,,
,Gemeindewerke Krickenbach c/o Stadtwerke Kaiserslautern Versorgungs-AG,https://www.swk-kl.de/de/privatkunden/produkte-leistungen/strom/energietraegermix.html,,Burgstraße 11,67659,Kaiserslautern,https://www.swk-kl.de,A,X,,,,,,,,,
,Gemeindewerke Lam,http://www.markt-lam.de/Dox.aspx?docid=1da01b38-1ac2-438d-98d6-2b7de5bb1c44,,,,,,A,X,,,,,,,,,
True,Gemeindewerke Lambsheim - Stadtwerke Grünstadt,,,,,,https://www.swen-gruenstadt.de,A,,,,,,,,,,
,Gemeindewerke Leck GmbH,https://www.gemeindewerke-leck.de/fileadmin/media/Strom/_2018_Stromkennzeichnung_Leck.pdf,FEHLER Kohle und sonstige Fossile zusammengefasst,Büllsbüller Chaussee 7,25917,Leck,https://www.sw-nf.de,A,X,,,,,,,,,
True,Gemeindewerke Malente,,,,,,https://gemeindewerke-malente.de/,?,,,,,,,,,x,
,Gemeindewerke Markt Lichtenau,https://gemeindewerke.markt-lichtenau.de/stromvertrieb/veroeffentlichungen/,,Ansbacher Straße 11,91586,Lichtenau,https://gemeindewerke.markt-lichtenau.de,R,,Gesellschafter und Mitglied der Kooperationsgesellschaft fränkischer Elektrizitätswerke mbH,?,,,,,RenewablePLUS,,
,Gemeindewerke Markt Stockstadt am Main,https://www.stockstadt-am-main.de/eigene_dateien/online/2/2018/november/stromkennzeichnung_2019_neu.pdf,,,,,,A,X,,,,,,,,,
,Gemeindewerke Münchweiler AöR,https://www.gw-muenchweiler.de/index.php?view=content&ID_NODE_VIEW=1&ID_NODE_VIEW2=97&ID_NODE_AKTIV=101&wsp=Strom&sub_hcolor=d10000,nicht aktuell,,,,www.gemeindewerke-muenchweiler.de,A,X,,,,,,,,,
,Gemeindewerken Bovenden GmbH & Co. KG,https://www.gemeindewerke-bovenden.de/strom/stromkennzeichnung/,,Rathausplatz 1,37120,Bovenden,https://www.gemeindewerke-bovenden.de,A,X,,,,,,,,,
,Gemeindewerke Neuendettelsau,https://www.gw-neuendettelsau.de/showpage.php?SiteID=59&lang=1,nicht aktuell,Johann-Flierl-Str. 19,91564,Neuendettelsau,https://www.gw-neuendettelsau.de,A,X,,,,,,,,,
,Gemeindewerke Niefern-Öschelbronn,https://www.niefern-oeschelbronn.de/gemeindewerke/stromvertrieb/,nicht aktuell,Friedenstraße 11,75223,Niefern-Öschelbronn,https://www.niefern-oeschelbronn.de,A,X,,,,,,,,,
,Gemeindewerke Nüdlingen,https://www.nuedlingen.de/gemeindewerke/stromversorgung/index.html,,Kissinger Str. 1,97720,Nüdlingen,https://www.nuedlingen.de,R,,,X,,,,,FirstClimate-Naturstrom Wasser und Wald,,
,Gemeindewerke Nümbrecht GmbH,https://www.gwn24.de/strom/strommix/,,Schulstraße 4,51588,Nümbrecht,https://www.gwn24.de,R,,,X,,,,,RenewablePLUS,,
,Gemeindewerke Oberaudorf Elektrizitäts- und Wasserwerk,http://www.gemeindewerke-oberaudorf.de/strom/veroeffentlichungen/stromkennzeichnung_gem_42_EnWG_2018.pdf,,Kranzhornstraße 2,83080,Oberaudorf,http://www.gemeindewerke-oberaudorf.de,A,X,,,,,,,,,
,Gemeindewerke Oberhaching GmbH,https://www.oberhachinger-strom.de/oberhachinger-strom/stromkennzeichnung/,nicht aktuell,Alpenstraße 11,82041,Oberhaching,https://www.gemeindewerke-oberhaching.de/,A,X,,,,,,,,,
,Gemeindewerke Partenstein,https://www.vg-partenstein.de/seite/vg/spessart/1165/-/Stromkennzeichnung_2016.html,nicht aktuell,Hauptstrasse 24,97846,Partenstein,https://www.vg-partenstein.de,A,X,,,,,,,,,
,Gemeindewerke Peiner Land GmbH & Co.KG,https://www.gemeindewerke-peinerland.de/privatkunden/produkte-tarife/strom/strom-pe-lk/stromkennzeichnung-gemeindewerke-peine-land.html,,Woltorfer Straße 64,31224,Peine,https://www.gemeindewerke-peinerland.de/,A,X,,,,,,,,,
,Gemeindewerke Peißenberg KU,https://www.gemeindewerke-peissenberg.de/strom-vertrieb/stromkennzeichnung/energietraegermix-und-umweltauswirkungen.html,,Forster Str. 19,82380,Peißenberg,https://www.gemeindewerke-peissenberg.de,A,X,,,,,,,,,
,Gemeindewerke Pleinfeld,https://www.gw-pleinfeld.de/images/content/Stromkennzeichnung%202017.jpg,,Marktplatz 11,91785,Pleinfeld,https://www.gw-pleinfeld.de,A,X,,,,,,,,,
True,Gemeindewerke Rheinzabern,,,,,,http://www.evu-rheinzabern.de,A,,,,,,,,,,
,Gemeindewerke Rückersdorf,https://gemeindewerke.rueckersdorf.de/fileadmin/Dateien/Dateien/Strom_Veroeffentlichungen/2017_Stromkennzeichnung_nach____42_EnWG.pdf,,Brunnenweg 9,90607,Rückersdorf,https://gemeindewerke.rueckersdorf.de,A,X,,,,,,,,,
,Gemeindewerke Ruppichteroth,https://gemeindewerkeruppichteroth.de/,nicht vorhanden,Brölstraße 5,53809,Ruppichteroth,,A,X,,,,,,,,,
,Gemeindewerke Schönkirchen GmbH,http://www.gemeindewerke-schoenkirchen.de/fileadmin/user_upload/GWS_Energiemix_2018_neu.pdf,FEHLER fehlerhafte Kennzeichnung,Dorfstraße 4,24232,Schönkirchen,https://gemeindewerke-schoenkirchen.de,A,X,,?,,,,,RenewablePLUS,,
,Gemeindewerke Schutterwald,https://www.gemeindewerke-schutterwald.de/fileadmin/Dateien/Dateien/Stromkennzeichnung_Internet_2017.pdf,,Rathaus,77746,Schutterwald,https://www.gemeindewerke-schutterwald.de,A,X,,,,,,,,,
,Gemeindewerke Schwarzenbruck GmbH,https://www.feucht-gw.de/fileadmin/FE_User/Dateien/GWS/Strom/Stromvertrieb/Formulare__Hilfen/Stromkennzeichnung_GWS_2017.pdf,,Unterer Zeidlerweg 1,90537,Feucht,https://www.feucht-gw.de,A,X,,,,,,,,,
,Gemeindewerke Sinzheim,http://www.gw-sinzheim.de/pdf.php3?id=f2f637dbdcfc4517972ea5d13a869fbf,,Müllhofener Str. 22,76547,Sinzheim,https://www.gw-sinzheim.de/,A,X,,,,,,,,,
,Gemeindewerke St. Michel-Energie GmbH,https://www.gemeindewerke-st-michel.de/dithmarschenstrom.html,nicht aktuell,,,,,A,X,,,,,,,,,
,Gemeindewerke Stammbach,http://www.gemeindewerke-stammbach.de/xist4c/download/web/Stromkennzeichnung2018_uplId_7699__coId_2233_.pdf;jsessionid=927869859B5C337310484A66FE4105E8,,Rathausstraße 7,95236,Stammbach,https://www.gemeindewerke-stammbach.de,RC,,,,,,,,,,
,Gemeindewerke Steinhagen GmbH,https://www.gs-werke.de/strom/download,nicht aktuell,Westernkamp 12,33803,Steinhagen,https://www.gs-werke.de,A,X,,,,,,,,,
,Gemeindewerke Steißlingen,https://www.steisslingen.de/gemeindewerke/stromtarife/,nicht aktuell,Schulstr. 19,78256,Steißlingen,https://www.steisslingen.de,A,X,,,,,,,,,
,Gemeindewerke Stelzenberg c/o Stadtwerke Kaiserslautern Versorgungs-AG,https://www.swk-kl.de/no_cache/de/unternehmen/ver-entsorger-gemeinden/gemeindewerke/stelzenberg.html,,Pirmasenser Straße 62,67655,Kaiserslautern,https://www.swk-kl.de,A,X,,,,,,,,,
,Gemeindewerke Stockelsdorf GmbH,https://www.gemeindewerke-stockelsdorf.de/preise-56.html,,Marienburgstraße 7,23617,Stockelsdorf,https://www.gemeindewerke-stockelsdorf.de,R,,,,,,,,"PurepowerTrue, TÜV SÜD EE01",,
,Gemeindewerke Taufkirchen (Vils) GmbH & Co. KG,https://www.gemeindewerke-taufkirchen.de/fileadmin/uploads/Dokumente_pdf/Diagramme_Stromkennzeichnung_2018-11-01_GWT.pdf,,Rathausplatz 1,84416,Taufkirchen (Vils),https://www.gemeindewerke-taufkirchen.de,A,X,,,,,,,,,
,Gemeindewerke Thüngen,http://www.markt-thuengen.de/kommunale/strom/stromkennzeichnung.pdf,,,,,,A,X,,,,,,,,,
,Gemeindewerke Umkirch GmbH,https://www.gemeindewerke-umkirch.de/de/Strom/Stromkennzeichung,,Vinzenz-Kremp-Weg 1,79224,Umkirch,https://www.gemeindewerke-umkirch.de,A,X,,,,,,,,,
,Gemeindewerke Waging,https://www.gemeindewerke-waging.de/strom,nicht aktuell,Salzburger Str. 1,83329,Waging am See,https://www.gemeindewerke-waging.de,A,X,"nur 2% normalstrom, erfüllt aber keine zuätzlichen kriterien",,,,,,,,
,Gemeindewerke Waldfischbach-Burgalben,https://www.gemeindewerke-wabu.de/index.php?view=content&ID_NODE_VIEW=2&ID_NODE_AKTIV=2,nicht aktuell,,,,,A,X,,,,,,,,,
,Gemeindewerke Weidenthal,https://www.swk-kl.de/fileadmin/data/downloads/pdfs/strommix/2017-11-09_Energietra__germix_weidenthal_2017.pdf,,Ramsteiner Weg 2,67685,Weilerbach,https://www.weidenthal.de/gemeindewerke/,A,X,,,,,,,,,
,Gemeindewerke Wendelstein,https://www.gemeindewerke-wendelstein.de/_obj/30F05E2F-A284-4CE1-93EA-46840DB9DDAF/outline/Energiemix-2017-fuer-2018.pdf,,Nürnberger Straße 5,90530,Wendelstein,https://www.gemeindewerke-wendelstein.de,A,X,,,,,,,,,übernommen von den Stadtwerken Kaiserslautern
,Gemeindewerke Wickede (Ruhr) GmbH,https://www.gwwickede.de/information/stromkennzeichnung.html,nicht aktuell,,,,,A,X,,,,,,,,,
,Gemeindewerke Wildeck Obersuhl,https://www.wildeck-hessen.de/index.php/gemeindewerke/strompreise,nicht aktuell,Eisenacher Straße 98,36208,Wildeck Obersuhl,https://www.wildeck-hessen.de,A,X,,,,,,,,x,tarife lassen keinen 100%igen Ökostrom erkennen
,Gemeindewerke Wilhermsdorf,http://www.markt-wilhermsdorf.de/wp-content/uploads/2018/10/Stromkennzeichnung-2017.pdf,,,,,,A,X,,,,,,,,,
,Gemeindewerk Hördt,https://www.gemeindewerke-ruelzheim.de/xxximg/imgnews/energietraegermix2018.gif,,Am Deutschordensplatz 1,76761,Rülzheim,https://www.heroldsbach.de,A,X,,,,,,,,,
,Gemeindewerk Kaufungen GmbH & Co. KG - Eine Marke der Städtische Werke AG Kassel,https://www.gemeindewerk-kaufungen.de/produkte/strom/,,,,,,A,X,,,,,,,,,
,Gemeindl. Werke Hengersberg,https://www.gw-hengersberg.de/strom/stromkennzeichnung.html,,Mimminger Straße 2,94491,Hengersberg,https://www.gw-hengersberg.de,A,X,,,,,,,,,
,Gemeindliche Stromversorgung Röttenbach,https://www.roettenbach-erh.de/stromversorgung/,nicht aktuell,Ringstr. 46,91341,Röttenbach,https://www.roettenbach-erh.de,A,X,,,,,,,,,
,gemeinsames Kommunalunternehmen Oberes Egertal,http://www.g-ku.de/includes/docs/strom/Stromkennzeichnung__2019.pdf,FEHLER mit EEG,Wunsiedler Straße 30,95163,Weißenstadt,http://www.g-ku.de,A,X,,,,,,,,,
True,GENO Energie GmbH,,,,,,https://www.geno-energie.de,A,,,,,,,,,,
,GEO Gesellschaft für Energieversorgung Ostalb mbH,https://www.geo-energie-ostalb.de/site/assets/files/1678/geo_stromkennzeichnung_2017.pdf,,Heidenheimer Str. 35,73447,Oberkochen,https://www.geo-energie-ostalb.de,RC,,,?,,,,,KlimaInvest-Ökostrom,,
,Georg Oest Mineralölwerk GmbH & Co KG,http://www.avia.de/privatkunden/avia-strom.html,nicht aktuell,Georg-Oest-Str. 4,72250,Freudenstadt,https://www.oest.de,0,X,Avia Strom Gesellschafter,,,,,,,,"Tankstelle (Vertrieb von Erdgas, Strom, Heizöl, Diesel, Holzpellets, Kraft- und Schmierstoffe)"
,Getreidemühle Zwiefalten e.G.,https://www.getreidemuehle-zwiefalten.de/gmz/index.php?idcat=3,,,,,,A,X,,,,,,,,,
,Gewerbepark Nürnberg-Feucht Versorgungs- und Abwasserentsorgungs GmbH,https://www.feucht-gw.de/fileadmin/FE_User/Dateien/GNF/Strom/Stromvertrieb/Produktinformationen/Stromkennzeichnung_GNF_2017.pdf,,Unterer Zeidlerweg 1,90537,Feucht,https://www.feucht-gw.de,A,X,,,,,,,,,
,GEW Wilhelmshaven GmbH,https://www.gew-wilhelmshaven.de/havenstrom/,,Nahestraße 6,26382,Wilhelmshaven,https://www.gew-wilhelmshaven.de,A,X,,,,,,,,,
,GGEW Gruppen-Gas- und Elektrizitätswerk Bergstraße AG,https://www.ggew.de/rechnungserklaerung/,,Dammstr. 68,64625,Bensheim,https://www.ggew.de,A,X,,,,,,X,,,
,goldgas GmbH,https://www.goldgas.de/fileadmin/resources/downloads/privatkunden/strom/goldgas-2017-Stromkennzeichung-Website.pdf,,,,,,A,X,,,,,,,,,
,Greenline - alternative energien GmbH,https://www.greenline.de/tankstellen/stromkennzeichnung,,Edelmannstr. 22,39218,Schönebeck,https://www.ggew.de,A,X,,,,,,,,,
,Greenpeace Energy eG,https://www.greenpeace-energy.de/rechtliches/energiewirtschaft.html#c17305,,Hongkongstr. 10,20457,Hamburg,https://www.greenpeace-energy.de,X,,,,,,,,"OK-Power Plus, EcoTopTen",,
,gridX GmbH,https://gridx.de/,nicht vorhanden,,,,,A,X,,,,,,,,,
,grün.power GmbH,https://gruenpower.eu/stromkennzeichnung,,An der Fahrt 5,55124,Mainz,https://gruenpower.eu,X,,,,,,,,,,
,Grüner Funke - eine Marke der Fuxx-Die Sparenergie GmbH,https://gruenerfunke.de/rechtliches/stromkennzeichnung/,,,,,,A,X,,,,,,,,,
,grünES GmbH,https://www.gruen-es.de/oekostrom,FEHLER mit EEG,,,,https://www.gruen-es.de,B,,Kooperation zwischen dem Energiekonzern EnBW und den Stadtwerken Esslingen,,,,,,,,ausschließlich aus heimischen Energiequellen
,Grünstromwerk Vertriebs GmbH,https://www.gruenstromwerk.de/unser-strommix,,Englische Planke 2,20459,Hamburg,https://www.gruenstromwerk.de,XX,,,,,?,,,TÜV Nord-Freiwillige Zertifizierung,,Vermittler / Dienstleister
,Grünwelt - eine Marke der Stromio GmbH,https://www.gruenwelt.de/stromkennzeichnung.html,nicht aktuell,Girmes-Kreuz-Str. 55,41564,Kaarst,https://www.gruenwelt.de,A,X,Marke der Stromio GmbH,,,,,,,,
,Grünwelt Wärmestrom GmbH,https://www.gruenwelt.de/stromkennzeichnung.html,nicht aktuell,,,,,A,X,,,,,,,,,
,GSW Gemeinschaftsstadtwerke GmbH Kamen - Bönen - Bergkamen,https://www.gsw-kamen.de/energie-wasser/privatkunden/strom/produkte-und-preise/gsw-strom-privat-basis,,Poststraße 4,59174,Kamen,https://www.gsw-kamen.de,A,X,,,,,,,,,
True,Gut & Grün - eine Marke der Stadtwerke Bochum GmbH,,,,,,https://gutundgruen.de,A,,,,,,,,,,
,GWG Grevenbroich GmbH,https://www.new-energie.de/sites/new-energie.de/files/website/main-navigation/strom/stromkennzeichnung_der_new_energie.pdf,,Nordstrasse 36,41515,Grevenbroich,https://www.gwg-grevenbroich.de,A,X,,,,,,,,,Certreten durch: NEW Niederrhein Energie und Wasser GmbH
,GWS Stadtwerke Hameln GmbH,https://www.stadtwerke-hameln.de/produkte/strom/stromkennzeichnung.html,,Hafenstrasse 14,31785,Hameln,https://www.stadtwerke-hameln.de,A,X,,,,,,,,,
,Halberstadtwerke GmbH,https://www.halberstadtwerke.de/privatkunden/strom/wissenswertes/energietraegermix.html,,,,,,A,X,,,,,,,,,
,HAMBURG ENERGIE GmbH,https://www.hamburgenergie.de/oekostrom/unsere-stromtarife/,,Billhorner Deich 2,20539,Hamburg,https://www.hamburgenergie.de/,R,,,,,,,X,TÜV Nord-Freiwillige Zertifizierung,,
,Harz Energie GmbH & Co. KG,https://www.harzenergie.de/comfortstrom,nicht aktuell,Lasfelder Str. 10,37520,Osterode,https://www.harzenergie.de,A,X,,,,,,,,,
,Havelstrom Zehdenick GmbH,https://www.stadtwerke-zehdenick.de/netznutzung.html,,Schleusenstraße 22,16792,Zehdenick,https://www.stadtwerke-zehdenick.de,A,X,,,,,,,,,
,Heinrich Klöcker GmbH & Co. KG,https://www.kloecker.de/privatkunden/avia-strom.html#c15512,nicht aktuell,Ahauser Straße 21,46325,Borken,https://www.kloecker.de,0,X,Avia Strom Gesellschafter,,,,,,,,Avia Strom Gesellschafter
,Hellweg Energie GmbH - eine Marke der Stadtwerke Lippstadt GmbH,https://www.hellwegenergie.de/de/stromversorgung/haeufige-fragen/stromkennzeichnung.php,,Bunsenstr. 2,59557,Lippstadt,https://www.hellwegenergie.de,A,X,,,,,,,,,
True,Hermann Bantleon GmbH,,,,,,https://www.bantleon.de,0,AVIA_Strom,,,,,,,,,hat nichts mit Ökostrom zu tun
,Hermann Geuder Elektrizitätswerk,http://www.ewerk-geuder.de/html/stromkennzeichnung.html,nicht aktuell,,,,,A,X,,,,,,,,,
,Hertener Stadtwerke GmbH,https://www.hertener-stadtwerke.de/produkte/hertenstrom.html,,,,,,A,X,,,,,,,,,
,Herzo Werke GmbH,https://www.herzowerke.de/tl_files/herzowerke/Userupload/Hochgeladen_2014_03_01/NETZ_ENWG_Energiemix_2017.pdf,,Schießhausstraße 9,91074,Herzogenaurach,https://www.herzowerke.de,R,,,,,,,,TÜV Rheinland,,
,hev Hohenloher Energie Versorgung GmbH,https://www.hev-energie.de/fileadmin/images/content/pdf/Strommix/HEV_Stromkennzeichnung_2017.pdf,,,,,,A,X,,,,,,,,,
,HEWA GmbH,https://www.hewagmbh.de/Strom/Vertrieb/Produkte_und_Preise/Stromkennzeichnung,,Wilhelm-Ulmer-Str. 12,91217,Hersbruck,https://www.hewagmbh.de,A,X,,,,,,,,,
,HEW HofEnergie+Wasser GmbH,https://www.stadtwerke-hof.de/fileadmin/user_upload/11_2018_Stromkennzeichnung_2017.pdf,,Unterkotzauer Weg 25,95028,Hof,https://www.stadtwerke-hof.de,A,X,,,,,,,,,
