Lichtblick Liste,RoWo Liste,Firmenname,Erneuerbare Energien 2,Link Stromkennzeichnung,Anmerkungen,Adresse,PLZ,Stadt,URL,RoWo-Kriterien,A,B,C,D,R,X,Eigene Kraftwerke/Anteile an Kraftwerken,Zertifizierung? (ein oder mehrer Tarife),Stromkennzeichung fehlt,Bemerkung
True,True,EWG Elektrizitätsversorgung Werther GmbH,1.06%,https://www.ewg-werther.de/fileadmin/content/documents/Dokumente_fuer_Tarife/EWG_Stromkennzeichung.pdf,,Alte Bielefelder Straße 28,33824,Werther,https://www.ewg-werther.de,A,,,,,,,,,,
True,True,E WIE EINFACH GmbH,17.62%,https://www.e-wie-einfach.de/files/e-wie-einfach.de/rechtliches/stromkennzeichnung.pdf,,Salierring 47-53,50677,Köln,https://www.e-wie-einfach.de,A,,,,,,,,,,
True,,EWR AG,29.66%,https://www.ewr.de/fileadmin/media/PDF/Produkte/Stromkennzeichnung_EWR_2018_01.pdf,,,,,,,,,,,,,,,,
True,True,EWR GmbH - Energie und Wasser für Remscheid,18.26%,https://www.ewr-remscheid.de/fileadmin/EWR_Homepage/Strom/Downloads/Energietr%C3%A4germix_2019__Bezugsjahr_2017_.pdf,,Neuenkamper Straße 81-87,42855,Remscheid,https://www.ewr-remscheid.de,A,,,,,,,,,,
True,True,ew-schmid gmbh,0.42%,https://ew-schmid.de/stromkennzeichnung/,,Untere Ringstr. 28,94437,Mamming,https://ew-schmid.de,A,,,,,,,,,,
True,True,EWV Energie- und Wasser-Versorgung GmbH Stolberg,4.90%,https://www.ewv.de/fileadmin/uploads/Dokumente/privatkunden/produkte/EWVSTROM/Stromkennzeichnung.pdf,,Willy-Brandt-Platz 2,52222,Stolberg,https://www.ewv.de,A,,,,,,,,,,
True,,ExtraEnergie GmbH,100.00%,https://www.extraenergie.com/sites/default/files/pictures/content_img/18092018_Stromkennzeichnung_extraenergie.png,,,,,,,,,,,,,,,,
True,True,EZV Energie- und Service GmbH & Co. KG Untermain,97.03%,http://www.ezv-energie.de/index.php/formulare.html,         ,Landstraße 47,63939,Wörth a. Main,http://ezv-energie.de,R?,"1,4% Kohle-Kernenergie ",,?,,,,x,,,
True,True,FairEnergie GmbH,9.05%,https://www.fairenergie.de/fileadmin/user_upload/onlineantraege/preislisten/preisblatt_oekomix.pdf,,Hauffstraße 89,72762,Reutlingen,https://www.fairenergie.de,A,,,,,,,,,,
True,,Fair Trade Power Deutschland GmbH,100.00%,https://www.fairtradepower.de/electricity.php,,,,,,,,,,,,,,,,
True,,FaNergie - eine Marke der Stadtwerke Freiberg am Neckar Vertriebs-GmbH,100.00%,https://www.fanergie.de/wp-content/uploads/2018/11/FAN_Stromkennzeichnung_2018_NEU_V2.pdf,,,,,,,,,,,,,,,,
True,True,Feuchter Gemeindewerke GmbH,41.40%,https://www.feucht-gw.de/fileadmin/FE_User/Dateien/FGW/Strom/Stromvertrieb/Produktinformationen/Stromkennzeichnung_FGW_2017.pdf,,Unterer Zeidlerweg 1,90537,Feucht,https://www.feucht-gw.de,A,,,,,,,,,,
True,True,Filderstadtwerke,100.00%,https://www.filderstadtwerke.de/de/Privatkunden/Stromkennzeichnung,,Brühlstraße 41,70794,Filderstadt-Sielmingen,https://www.filderstadtwerke.de,R,,,,,,,,KlimaINVEST,,
True,,First Utility GmbH,7.64%,https://www.shellprivatenergie.de/energiemix,,,,,,,,,,,,,,,,
True,True,Fischereihafen-Betriebsgesellschaft mbH,5.59%,https://www.fbg-bremerhaven.de/fileadmin/user/unternehmen/PDF/Strom/2018/Stromkennzeichnung/Stromkennzeichnung_Gesamtmix_2017.pdf,FEHLER Umweltbelastungen,Lengstraße 1,27572,Bremerhaven,https://www.fbg-bremerhaven.de,A,,,,,,,,,,
True,,FischerStrom KG,0.00%,FischerStrom KG,FEHLER keine Website,,,,,,,,,,,,,,,
True,,Fohlenstrom - eine Marke der NEW Niederrhein Energie und Wasser GmbH,13.77%,https://www.new-energie.de/sites/new-energie.de/files/website/main-navigation/strom/stromkennzeichnung_der_new_energie.pdf,,,,,,,,,,,,,,,,
True,True,Freiberger Stromversorgung GmbH,0.00%,https://www.stadtwerke-freiberg.de/service/informationen/stromkennzeichnung-2016.html,nicht aktuell,Poststraße 5,9599,Freiberg,https://www.stadtwerke-freiberg.de/,A,,,,,,,,,,
True,True,Freisinger Stadtwerke Versorgungs-GmbH,100.00%,https://www.freisinger-stadtwerke.de/de/Energie-Wasser/Strom/Stromkennzeichnung/,,Wippenhauser Str. 19,85354,Freising,https://www.freisinger-stadtwerke.de,R?,,,,,,,,TÜV Süd,,
True,True,FREITALER STROM+GAS GMBH,0.21%,https://www.fsg-freital.de/privatkunden/strom/produkte/fsg-mix-strom.html,,Potschappler Straße 2,1705,Freital/Sachsen,https://www.fsg-freital.de,A,,,,,,,,,,
True,,friesenenergie GmbH,100.00%,https://www.friesenenergie.de/seite/330825/ver%C3%B6ffentlichungspflichten.html,,,,,,,,,,,,,,,,
True,,Fulda-Eder Energie GmbH & Co. KG - Eine Marke der Städtische Werke Kassel AG,60.72%,https://www.fulda-eder-energie.de/produkte/fee-strom/,,,,,,,,,,,,,,,,
True,,fünfwerke GmbH & Co. KG,0.00%,https://www.fuenfwerke.de/media/PDF-Dokumente/071-120-Stromkennzeichnung-2018.pdf,,,,,,,,,,,,,,,,
True,,Fürstlich Fugger v. Glött'sche E-Werks GmbH & Co. KG,0.21%,https://ffew.de/download/ffew_grundversorgung_2019.pdf,FEHLER Deutschland-Mix,,,,,,,,,,,,,,,
True,,Fuxx-Die Sparenergie GmbH,35.10%,https://www.fuxx-sparenergie.de/rechtliches/stromkennzeichnung/,,,,,,,,,,,,,,,,
True,,Gammertinger Energie- und Wasserversorgung GmbH,4.88%,http://www.gipsprojekt.de/featureGips/ew_gammertingen/EnWGTool/Stromnetz/Grund-und_Ersatzversorgung_-_Sonstiges/Stromkennzeichnung/Stromkennzeichnung-2018-auf-Basis-von-2017.pdf,,,,,,,,,,,,,,,,
True,,GASAG AG,85.14%,https://www.gasag.de/-/media/files/stromkennzeichnungen/gasag-stromkennzeichnung.ashx,,,,,,,,,,,,,,,,
True,,GAS IN GmbH,0.00%,https://www.gas-in.de/downloads/Strommix_GasIn_Strom_2017.pdf,,,,,,,,,,,,,,,,
True,True,GASPAR - eine Marke der rhenag Rheinische Energie AG,100.00%,https://gaspar-energie.de/informationen/klimaschutz/klimaschutz-und-gaspar-strom/,,Bayenthalgürtel 9,50968,Köln,https://gaspar-energie.de,?,,Marke der rhenag AG,?,,,,,,,
True,,Gas- und Energiegenossenschaft Ost- und Mitteldeutschland eG,0.00%,www.energiegenossenschaft.de/,nicht vorhanden,,,,,,,,,,,,,,,
True,,Gas- und Wärmedienst Börnsen GmbH,0.00%,https://www.gas-und-waermedienst-boernsen.de/crbst_18.html,FEHLER fehlerhafte Kennzeichnung,,,,,,,,,,,,,,,
True,True,Gas- und Wasserversorgung Höxter GmbH,100.00%,https://www.gwh-hoexter.de/strom/allgemeine-hinweise/stromkennzeichnung/,,Corveyer Allee 21,37671,Höxter,https://www.gwh-hoexter.de,R?,,,,,,,,,,
True,,Gasversorgungsgesellschaft mbH Rhein-Erft (GVG),0.00%,https://www.erftpower.de/index.php?id=1#faq,FEHLER fehlerhafte Kennzeichnung,,,,,,,,,,,,,,,
True,True,Gebrüder Eirich GmbH & Co KG Elektrizitätswerk,0.00%,https://www.gebruedereirich.de/index.php?cat=Stromversorgung&page=Stromkennzeichnung,FEHLER mit EEG,Walldürner Str. 50,74736,Hardheim,https://www.gebruedereirich.de,R?,,,?,,,,,,,
True,True,Gebrüder Heinzelmann Elektrizitätswerk GmbH & Co. KG,0.00%,https://www.gebr-heinzelmann.com/elektrizitaet/stromhandel/#stromzusammensetzung,FEHLER fehlerhafte Kennzeichnung,Halmeil 3,77709,Wolfach-Halbmeil,https://www.gebr-heinzelmann.com,R,,regional erzeugter Strom,,,,,,,,
True,,Gebrüder Miller KG Elektrizitätsversorgung,0.00%,https://gebrueder-miller.de/index.php/stromkennzeichnung.html,nicht aktuell,,,,,,,,,,,,,,,
True,,GELSENWASSER AG,90.23%,https://www.gelsenwasser.de/strom/allgemeine-hinweise/stromkennzeichnung/?tx_news_pi1%5B%40widget_0%5D%5BcurrentPage%5D=1&tx_news_pi1%5BoverwriteDemand%5D%5Bcategories%5D=1&cHash=50823efd7ddafb3b068e5cf817aa806a,,,,,,,,,,,,,,,,
True,,Gemeinde-Elektrizitäts- und Wasserwerk-Werk Burtenbach,0.00%,https://docs.wixstatic.com/ugd/5aed84_1754fc534ad5487abb15d208b8fd8732.pdf,FEHLER mit EEG,,,,,,,,,,,,,,,
True,True,Gemeinde Heroldsbach Stromversorgung,9.77%,https://www.heroldsbach.de/fileadmin/Downloads/Strom/Energiemix_2018.pdf,,Hauptstraße 9,91336,Heroldsbach,https://www.heroldsbach.de,A,?,,?,,,,,,,
True,True,Gemeindewerke Ammerbuch GmbH,0.00%,https://www.gemeindewerke-ammerbuch.de/produkte/stromkennzeichnung,nicht aktuell,Kirchstraße 6,72119,Ammerbuch,https://www.gemeindewerke-ammerbuch.de,A,,,,,,,,,,
True,True,Gemeindewerke Bad Sassendorf GmbH & Co. KG,57.54%,https://www.gw-bad-sassendorf.de/de/stromversorgung/haeufige-fragen/stromkennzeichnung.php,,Eichendorffstraße 1,59505,Bad Sassendorf,https://www.gw-bad-sassendorf.de,A,,,,,,,,,,
True,True,Gemeindewerke Baiersbronn,0.00%,https://gemeindewerke-baiersbronn.de/strom/informationen,nicht aktuell,Oberdorfstr. 46,72270,Baiersbronn,https://gemeindewerke-baiersbronn.de,A,,,,,,,,,,
True,,Gemeindewerke Bayerisch Gmain,7.86%,http://www.bayerisch.gmain.de/medien/energiemix-2018-internet-neu-bg.pdf,,,,,,,,,,,,,,,,
True,True,Gemeindewerke Bobenheim-Roxheim,0.21%,https://www.gemeindewerke-boro.de/_Resources/Persistent/ce59eaa8a4214eadba962100f8b15e451f3c7688/2017_Stromkennzeichnung_BoRo.pdf,,Rathausplatz,67240,Bobenheim-Roxheim,https://www.stw-frankenthal.de,?,,,,,,,,,x,
True,,Gemeindewerke Brüggen GmbH,0.00%,http://www.gemeindewerke-brueggen-wasser-strom.de/,nicht vorhanden,,,,,,,,,,,,,,,
True,True,Gemeindewerke Budenheim AöR,0.00%,https://www.gemeindewerke-budenheim.de/supermenu/downloads/,FEHLER fehlerhafte Kennzeichnung,Untere Stefanstr. 65,55257,Budenheim,https://www.gemeindewerke-budenheim.de,A,,,,,,,,,,
True,,Gemeindewerke Cadolzburg,8.92%,https://www.werke-cadolzburg.de/strom/downloads-strom/netzzugang-entgelte/,,,,,,,,,,,,,,,,
True,,Gemeindewerke Dudenhofen,0.00%,https://www.vgrd.de/vg_rd/Werke/Strom/,nicht aktuell,,,,,,,,,,,,,,,
True,,Gemeindewerke Ebersdorf,0.64%,https://www.ebersdorf.net/media/1993/preisblatt-fuer-die-grund-und-ersatzversorgung-2019.pdf,,,,,,,,,,,,,,,,
True,,Gemeindewerke Eppelborn GmbH & Co. KG,86.20%,https://www.kommpower.de/wp-content/uploads/2018/10/Herkunftsnachweise_2018-GWE.png,,,,,,,,,,,,,,,,
True,,Gemeindewerke Everswinkel GmbH,100.00%,https://www.gemeindewerke-everswinkel.de/de-wAssets/docs/preise/20190101-Preisblatt-Strom.pdf,,,,,,,,,,,,,,,,
True,True,Gemeindewerke Frammersbach,0.00%,http://www.frammersbach.de/seite/bs/marktgemeinde/0304:324/-/Stromversorgung___E-Werk.html,nicht aktuell,Marktplatz 3 (Rathaus),97833,Frammersbach,https://www.frammersbach.de,A,,,,,,,,,,
True,,Gemeindewerke Gangkofen,0.00%,https://www.gangkofen.de/stromkennzeichnung-2019,,,,,,,,,,,,,,,,
True,True,Gemeindewerke Garmisch-Partenkirchen,7.01%,https://www.gw-gap.de/strom/informationen,,Adlerstraße 25,82467,Garmisch-Partenkirchen,https://www.gw-gap.de,A,,,,,,,,,,
True,True,Gemeindewerke Georgensgmünd,0.00%,https://www.gemeindewerke-georgensgmuend.de/index.php?id=349,nicht aktuell,Bahnhofstrasse 4,91166,Georgensgmünd,https://www.gemeindewerke-georgensgmuend.de,A,,,,,,,,,,
True,,Gemeindewerke Grefrath GmbH,0.21%,https://www.gemeindewerke-grefrath.de/stromkennzeichnung,,,,,,,,,,,,,,,,
True,True,Gemeindewerke Großkrotzenburg GmbH,0.40%,https://www.gemeindewerke-grosskrotzenburg.de/files/pdf/strom-pdf/veroeffentlichungen-EnWG/Stromkennzeichnung%202017.pdf,,Anne-Frank-Platz 10,63538,Großkrotzenburg,https://www.gemeindewerke-grosskrotzenburg.de,A,,,,,,,,,,
True,True,Gemeindewerke Gundelfingen GmbH,100.00%,https://www.gwg-gundelfingen.de/de/Strom/Stromkennzeichnung/Stromkennzeichnung/gwg-Stromkennzeichnung-2018-10-30.pdf,,Alte Bundesstr. 31,79194,Gundelfingen,https://www.gwg-gundelfingen.de,R,?,30 % gehören badenova (verkaufen auch normalstrom),,,,,,,,
True,True,Gemeindewerke Halstenbek,22.27%,https://www.gwhalstenbek.de/strommix.html,,Ostereschweg 9,25469,Halstenbek,https://www.gwhalstenbek.de,A,,,,,,,,,,
True,True,Gemeindewerke Hardt,0.00%,https://www.hardt-online.de/gemeindewerke,nicht aktuell,Mariazeller Str. 1,78739,Hardt,https://www.hardt-online.de,A,,,,,,,,,,
True,True,Gemeindewerke Haßloch GmbH,71.97%,https://www.gwhassloch.de/fileadmin/user_upload/01_Strom/Docs/181101Stromkennzeichnung2018_01.pdf,,Gottlieb-Duttenhöfer-Straße 27,67454,Haßloch,https://www.gwhassloch.de,A,,,,,,,,,,
True,True,Gemeindewerke Heikendorf GmbH,0.00%,https://www.gwh.sh/strom/stromkennzeichnung/,nicht aktuell,Wasserwaage 1,24226,Heikendorf,https://www.gwh.sh,R?,,,,,,,,,,
True,True,Gemeindewerke Hermaringen,100.00%,https://gemeindewerke-hermaringen.de/site/assets/files/1979/gwh_stromkennzeichnung_2017.pdf,,Karlstr. 12,89568,Hermaringen,https://gemeindewerke-hermaringen.de,R?,,,,,,,,KlimaINVEST,,
True,True,Gemeindewerke Herxheim,1.49%,https://www.gemeindewerke-herxheim.de/fileadmin/user_upload/2018-11-14_Strommix_2017_GW_Herxheim_2.jpg,,Am Rathaus 6,76863,Herxheim,https://www.gemeindewerke-herxheim.de,A,,,x,,,,,TÜV Nord,,
True,,Gemeindewerke Heusweiler GmbH,77.92%,https://www.kommpower.de/stromkennzeichnung/,,,,,,,,,,,,,,,,
True,True,Gemeindewerke Hohenwestedt GmbH,0.00%,https://www.gemeindewerke-hohenwestedt.de/strom/,nicht aktuell,Am Gaswerk 8,24594,Hohenwestedt,https://www.gemeindewerke-hohenwestedt.de,A,,,,,,,,,,
True,True,Gemeindewerke Holzkirchen GmbH,0.00%,https://www.gw-holzkirchen.de/de/Kopfnavigation/Veroeffentlichungspflichten/Stromnetz/Stromnetz.html,nicht aktuell,Industriestraße 8,83607,Holzkirchen,https://www.gw-holzkirchen.de,A,,,,,,,,,,
True,True,Gemeindewerke Hünxe GmbH,100.00%,https://www.gemeindewerke-huenxe.de/strom/allgemeine-hinweise/stromkennzeichnung/,,In der Beckkuhl 4,46569,Hünxe,https://www.gemeindewerke-huenxe.de,R?,,,,,,,,,,
True,,Gemeindewerke Hütschenhausen c/o Stadtwerke Ramstein-Miesenbach,0.00%,https://www.stadtwerke-ramstein.de/fileadmin/dokumente/Strom/pdf/Stromkennzeichnung/Stromkennzeichung_Huetschenhausen_2017.pdf,,,,,,,,,,,,,,,,
True,,Gemeindewerke Kahl Versorgungsgesellschaft mbH,83.44%,https://www.gemeindewerke-kahl.de/index.php/strom/stromkennzeichnung,,,,,,,,,,,,,,,,
True,True,Gemeindewerke Kiefersfelden,0.00%,https://www.gemeindewerke-kiefersfelden.de/strom/vertrieb/energietraegermix/,nicht aktuell,Kufsteiner Straße 17,83088,Kiefersfelden,https://www.gemeindewerke-kiefersfelden.de,R?,,,?,,,,x,x,,
True,,Gemeindewerke Kirkel GmbH,13.16%,https://www.gwkirkel.de/strom/infos-rund-um-strom/energietraegermix/,,,,,,,,,,,,,,,,
True,,Gemeindewerke Kleinblittersdorf GmbH & Co. KG,96.82%,https://www.kommpower.de/stromkennzeichnung/,,,,,,,,,,,,,,,,
True,,Gemeindewerke Krauchenwies,0.00%,https://www.gemeindewerke-krauchenwies.de/site/Krauchenwies-Gemeindewerke/search/14698674/Lde/index.html?viewSecurityToken=96fc24256e6282d5ea56d7e860b84da272753836&page=1&sort=mimetype&order=desc&query=stromkennzeichnung&_sectionFilter=on&exclusionWords=&finishParam=%7B%27page%27%3A%271%27%7D,nicht aktuell,,,,,,,,,,,,,,,
True,True,Gemeindewerke Krickenbach c/o Stadtwerke Kaiserslautern Versorgungs-AG,0.21%,https://www.swk-kl.de/de/privatkunden/produkte-leistungen/strom/energietraegermix.html,,Burgstraße 11,67659,Kaiserslautern,https://www.swk-kl.de,A,,,,,,,,,,
True,,Gemeindewerke Lam,0.20%,http://www.markt-lam.de/Dox.aspx?docid=1da01b38-1ac2-438d-98d6-2b7de5bb1c44,,,,,,,,,,,,,,,,
True,True,Gemeindewerke Leck GmbH,52.23%,https://www.gemeindewerke-leck.de/fileadmin/media/Strom/_2018_Stromkennzeichnung_Leck.pdf,FEHLER Kohle und sonstige Fossile zusammengefasst,Büllsbüller Chaussee 7,25917,Leck,https://www.sw-nf.de,A,,,,,,,,,,
True,True,Gemeindewerke Markt Lichtenau,100.00%,https://gemeindewerke.markt-lichtenau.de/stromvertrieb/veroeffentlichungen/,,Ansbacher Straße 11,91586,Lichtenau,https://gemeindewerke.markt-lichtenau.de,R?,,Gesellschafter und Mitglied der Kooperationsgesellschaft fränkischer Elektrizitätswerke mbH,?,,,,,RenewablePLUS,,
True,,Gemeindewerke Markt Stockstadt am Main,0.21%,https://www.stockstadt-am-main.de/eigene_dateien/online/2/2018/november/stromkennzeichnung_2019_neu.pdf,,,,,,,,,,,,,,,,
True,,Gemeindewerke Münchweiler AöR,0.00%,https://www.gw-muenchweiler.de/index.php?view=content&ID_NODE_VIEW=1&ID_NODE_VIEW2=97&ID_NODE_AKTIV=101&wsp=Strom&sub_hcolor=d10000,nicht aktuell,,,,,,,,,,,,,,,
True,True,Gemeindewerken Bovenden GmbH & Co. KG,84.29%,https://www.gemeindewerke-bovenden.de/strom/stromkennzeichnung/,,Rathausplatz 1,37120,Bovenden,https://www.gemeindewerke-bovenden.de,A,,,,,,,,,,
True,True,Gemeindewerke Neuendettelsau,0.00%,https://www.gw-neuendettelsau.de/showpage.php?SiteID=59&lang=1,nicht aktuell,Johann-Flierl-Str. 19,91564,Neuendettelsau,https://www.gw-neuendettelsau.de,A,,,,,,,,,,
True,True,Gemeindewerke Niefern-Öschelbronn,0.00%,https://www.niefern-oeschelbronn.de/gemeindewerke/stromvertrieb/,nicht aktuell,Friedenstraße 11,75223,Niefern-Öschelbronn,https://www.niefern-oeschelbronn.de,A,,,,,,,,,,
True,True,Gemeindewerke Nüdlingen,100.00%,https://www.nuedlingen.de/gemeindewerke/stromversorgung/index.html,,Kissinger Str. 1,97720,Nüdlingen,https://www.nuedlingen.de,R?,,,?,,,,,Naturstrom Wasser und Wald PLUS,,
True,True,Gemeindewerke Nümbrecht GmbH,100.00%,https://www.gwn24.de/strom/strommix/,,Schulstraße 4,51588,Nümbrecht,https://www.gwn24.de,R?,,,?,,,,,RenewablePLUS,,
True,True,Gemeindewerke Oberaudorf Elektrizitäts- und Wasserwerk,2.12%,http://www.gemeindewerke-oberaudorf.de/strom/veroeffentlichungen/stromkennzeichnung_gem_42_EnWG_2018.pdf,,Kranzhornstraße 2,83080,Oberaudorf,http://www.gemeindewerke-oberaudorf.de,A,,,,,,,,,,
True,True,Gemeindewerke Oberhaching GmbH,0.00%,https://www.oberhachinger-strom.de/oberhachinger-strom/stromkennzeichnung/,nicht aktuell,Alpenstraße 11,82041,Oberhaching,https://www.gemeindewerke-oberhaching.de/,A,,,,,,,,,,
True,True,Gemeindewerke Partenstein,0.00%,https://www.vg-partenstein.de/seite/vg/spessart/1165/-/Stromkennzeichnung_2016.html,nicht aktuell,Hauptstrasse 24,97846,Partenstein,https://www.vg-partenstein.de,A,,,,,,,,,,
True,True,Gemeindewerke Peiner Land GmbH & Co.KG,80.25%,https://www.gemeindewerke-peinerland.de/privatkunden/produkte-tarife/strom/strom-pe-lk/stromkennzeichnung-gemeindewerke-peine-land.html,,Woltorfer Straße 64,31224,Peine,https://www.gemeindewerke-peinerland.de/,A,,,,,,,,,,
True,True,Gemeindewerke Peißenberg KU,11.89%,https://www.gemeindewerke-peissenberg.de/strom-vertrieb/stromkennzeichnung/energietraegermix-und-umweltauswirkungen.html,,Forster Str. 19,82380,Peißenberg,https://www.gemeindewerke-peissenberg.de,A,,,,,,,,,,
True,True,Gemeindewerke Pleinfeld,1.27%,https://www.gw-pleinfeld.de/images/content/Stromkennzeichnung%202017.jpg,,Marktplatz 11,91785,Pleinfeld,https://www.gw-pleinfeld.de,A,,,,,,,,,,
True,True,Gemeindewerke Rückersdorf,18.05%,https://gemeindewerke.rueckersdorf.de/fileadmin/Dateien/Dateien/Strom_Veroeffentlichungen/2017_Stromkennzeichnung_nach____42_EnWG.pdf,,Brunnenweg 9,90607,Rückersdorf,https://gemeindewerke.rueckersdorf.de,A,,,,,,,,,,
True,,Gemeindewerke Ruppichteroth,0.00%,https://gemeindewerkeruppichteroth.de/,nicht vorhanden,,,,,,,,,,,,,,,
True,True,Gemeindewerke Schönkirchen GmbH,0.00%,http://www.gemeindewerke-schoenkirchen.de/fileadmin/user_upload/GWS_Energiemix_2018_neu.pdf,FEHLER fehlerhafte Kennzeichnung,Dorfstraße 4,24232,Schönkirchen,https://gemeindewerke-schoenkirchen.de,R?,,,?,,,,,RenewablePLUS,,
True,True,Gemeindewerke Schutterwald,1.06%,https://www.gemeindewerke-schutterwald.de/fileadmin/Dateien/Dateien/Stromkennzeichnung_Internet_2017.pdf,,Rathaus,77746,Schutterwald,https://www.gemeindewerke-schutterwald.de,A,,,,,,,,,,
True,True,Gemeindewerke Schwarzenbruck GmbH,53.72%,https://www.feucht-gw.de/fileadmin/FE_User/Dateien/GWS/Strom/Stromvertrieb/Formulare__Hilfen/Stromkennzeichnung_GWS_2017.pdf,,Unterer Zeidlerweg 1,90537,Feucht,https://www.feucht-gw.de,A,,,,,,,,,,
True,True,Gemeindewerke Sinzheim,2.34%,http://www.gw-sinzheim.de/pdf.php3?id=f2f637dbdcfc4517972ea5d13a869fbf,,Müllhofener Str. 22,76547,Sinzheim,https://www.gw-sinzheim.de/,A,,,,,,,,,,
True,,Gemeindewerke St. Michel-Energie GmbH,0.00%,https://www.gemeindewerke-st-michel.de/dithmarschenstrom.html,nicht aktuell,,,,,,,,,,,,,,,
True,True,Gemeindewerke Stammbach,100.00%,http://www.gemeindewerke-stammbach.de/xist4c/download/web/Stromkennzeichnung2018_uplId_7699__coId_2233_.pdf;jsessionid=927869859B5C337310484A66FE4105E8,,Rathausstraße 7,95236,Stammbach,https://www.gemeindewerke-stammbach.de,R?,,,,,,,,,,
True,True,Gemeindewerke Steinhagen GmbH,0.00%,https://www.gs-werke.de/strom/download,nicht aktuell,Westernkamp 12,33803,Steinhagen,https://www.gs-werke.de,A,,,,,,,,,,
True,True,Gemeindewerke Steißlingen,0.00%,https://www.steisslingen.de/gemeindewerke/stromtarife/,nicht aktuell,Schulstr. 19,78256,Steißlingen,https://www.steisslingen.de,A,,,,,,,,,,
True,True,Gemeindewerke Stelzenberg c/o Stadtwerke Kaiserslautern Versorgungs-AG,0.00%,https://www.swk-kl.de/no_cache/de/unternehmen/ver-entsorger-gemeinden/gemeindewerke/stelzenberg.html,,Pirmasenser Straße 62,67655,Kaiserslautern,https://www.swk-kl.de,A,,,,,,,,,,
True,True,Gemeindewerke Stockelsdorf GmbH,100.00%,https://www.gemeindewerke-stockelsdorf.de/preise-56.html,,Marienburgstraße 7,23617,Stockelsdorf,https://www.gemeindewerke-stockelsdorf.de,R?,,,,,,,,purepowerTrue (TÜV süd),,
True,True,Gemeindewerke Taufkirchen (Vils) GmbH & Co. KG,2.49%,https://www.gemeindewerke-taufkirchen.de/fileadmin/uploads/Dokumente_pdf/Diagramme_Stromkennzeichnung_2018-11-01_GWT.pdf,,Rathausplatz 1,84416,Taufkirchen (Vils),https://www.gemeindewerke-taufkirchen.de,A,,,,,,,,,,
True,,Gemeindewerke Thüngen,34.39%,http://www.markt-thuengen.de/kommunale/strom/stromkennzeichnung.pdf,,,,,,,,,,,,,,,,
True,True,Gemeindewerke Umkirch GmbH,48.41%,https://www.gemeindewerke-umkirch.de/de/Strom/Stromkennzeichung,,Vinzenz-Kremp-Weg 1,79224,Umkirch,https://www.gemeindewerke-umkirch.de,A,,,,,,,,,,
True,True,Gemeindewerke Waging,0.00%,https://www.gemeindewerke-waging.de/strom,nicht aktuell,Salzburger Str. 1,83329,Waging am See,https://www.gemeindewerke-waging.de,A,,"nur 2% normalstrom, erfüllt aber keine zuätzlichen kriterien",,,,,,,,
True,,Gemeindewerke Waldfischbach-Burgalben,0.00%,https://www.gemeindewerke-wabu.de/index.php?view=content&ID_NODE_VIEW=2&ID_NODE_AKTIV=2,nicht aktuell,,,,,,,,,,,,,,,
True,True,Gemeindewerke Weidenthal,0.00%,https://www.swk-kl.de/fileadmin/data/downloads/pdfs/strommix/2017-11-09_Energietra__germix_weidenthal_2017.pdf,,Ramsteiner Weg 2,67685,Weilerbach,https://www.weidenthal.de/gemeindewerke/,?,,,,,,,,,,
True,True,Gemeindewerke Wendelstein,26.96%,https://www.gemeindewerke-wendelstein.de/_obj/30F05E2F-A284-4CE1-93EA-46840DB9DDAF/outline/Energiemix-2017-fuer-2018.pdf,,Nürnberger Straße 5,90530,Wendelstein,https://www.gemeindewerke-wendelstein.de,A,,,,,,,,,,übernommen von den Stadtwerken Kaiserslautern
True,,Gemeindewerke Wickede (Ruhr) GmbH,0.00%,https://www.gwwickede.de/information/stromkennzeichnung.html,nicht aktuell,,,,,,,,,,,,,,,
True,True,Gemeindewerke Wildeck Obersuhl,0.00%,https://www.wildeck-hessen.de/index.php/gemeindewerke/strompreise,nicht aktuell,Eisenacher Straße 98,36208,Wildeck Obersuhl,https://www.wildeck-hessen.de,?,?,,,,,,,,x,tarife lassen keinen 100%igen Ökostrom erkennen
True,,Gemeindewerke Wilhermsdorf,0.42%,http://www.markt-wilhermsdorf.de/wp-content/uploads/2018/10/Stromkennzeichnung-2017.pdf,,,,,,,,,,,,,,,,
True,True,Gemeindewerk Hördt,0.21%,https://www.gemeindewerke-ruelzheim.de/xxximg/imgnews/energietraegermix2018.gif,,Am Deutschordensplatz 1,76761,Rülzheim,https://www.heroldsbach.de,A,,,,,,,,,,
True,,Gemeindewerk Kaufungen GmbH & Co. KG - Eine Marke der Städtische Werke AG Kassel,60.72%,https://www.gemeindewerk-kaufungen.de/produkte/strom/,,,,,,,,,,,,,,,,
True,True,Gemeindl. Werke Hengersberg,1.95%,https://www.gw-hengersberg.de/strom/stromkennzeichnung.html,,Mimminger Straße 2,94491,Hengersberg,https://www.gw-hengersberg.de,A,,,,,,,,,,
True,True,Gemeindliche Stromversorgung Röttenbach,0.00%,https://www.roettenbach-erh.de/stromversorgung/,nicht aktuell,Ringstr. 46,91341,Röttenbach,https://www.roettenbach-erh.de,A,,,,,,,,,,
True,True,gemeinsames Kommunalunternehmen Oberes Egertal,67.20%,http://www.g-ku.de/includes/docs/strom/Stromkennzeichnung__2019.pdf,FEHLER mit EEG,Wunsiedler Straße 30,95163,Weißenstadt,http://www.g-ku.de,A,,,,,,,,,,
